ward,type,location,year,est_cost,id,point_location,lat,long,query
23,Sidewalk Menu,5158 S NORDICA AVE,2017,531.25,18979,5158 S NORDICA AVE,41.7977555,-87.7981676,google
23,Alley Apron Menu,5158 S NORDICA AVE,2019,15345.21,19088,5158 S NORDICA AVE,41.7977555,-87.7981676,google
14,Sidewalk Menu,5158 S SPAULDING AVE,2022,7432.82,12240,5158 S SPAULDING AVE,41.975533521000045,-87.71112035399995,census
4,POD Camera,5158 S. Lake Park,2010,20000,3188,5158 S. Lake Park,41.8012272,-87.5879859,google
23,Alley Apron Menu,5159 S KOLMAR AVE,2017,18177.38,18941,5159 S KOLMAR AVE,41.7987165,-87.7364986,google
23,Curb & Gutter Menu,5159 S NEW ENGLAND AVE,2019,3464.42,41531,5159 S NEW ENGLAND AVE,41.7978392,-87.793913,google
23,Alley Apron Menu,5159 S NEWCASTLE AVE,2017,12230.29,18937,5159 S NEWCASTLE AVE,41.79842933200007,-87.79295806999994,census
14,Sidewalk Menu,5159 S WHIPPLE ST,2019,6135.25,12109,5159 S WHIPPLE ST,41.79963808300005,-87.70005851499997,census
4,Bollard Menu,516 E BOWEN AV,2007,2142,3078,516 E BOWEN AV,41.819408270000054,-87.61267164299994,census
1,Sidewalk Menu,516 N ADA ST,2019,2386.85,811,516 N ADA ST,41.89163709400003,-87.66080045399997,census
27,Sidewalk Menu,516 N ALBANY AVE,2017,8071.02,22172,516 N ALBANY AVE,41.89113151600003,-87.70396183699995,census
23,Speed Indicator Signs,5160 S ARCHER AVE,2021,11000,41578,5160 S ARCHER AVE,41.800059728000065,-87.73408764499999,census
3,Miscellaneous CDOT Projects,5160 S MICHIGAN AVE,2022,300,3004,5160 S MICHIGAN AVE,41.800552337000056,-87.62261646099995,census
37,Bollard Menu,5163 W GRAND AV,2008,1428,29999,5163 W GRAND AV,41.91687413500006,-87.75514913999996,census
3,Street Light Upgrade Menu,517 E 46TH PL,2021,500,2965,517 E 46TH PL,41.8101237,-87.613059,google
11,Sidewalk Menu,517 W 44TH ST,2015,5325,8499,517 W 44TH ST,41.81352696500005,-87.71090864199994,census
11,Curb & Gutter Menu,517 W 45TH ST,2018,2987.57,8615,517 W 45TH ST,41.8124339,-87.6390909,google
11,Curb & Gutter Menu,517 W ROOT ST,2019,15668.62,8651,517 W ROOT ST,41.81901299900005,-87.63889488999996,census
37,Sidewalk Menu,5170 W ST PAUL AVE,2019,911.58,42783,5170 W ST PAUL AVE,41.91226493200003,-87.75499026199998,census
21,Sidewalk Menu,518 W 88TH ST,2017,6558.13,17114,518 W 88TH ST,41.7345905,-87.6369734,google
23,Speed Indicator Signs,5185 S ARCHER AVE,2021,11000,41579,5185 S ARCHER AVE,41.80008829900004,-87.73383056499995,census
11,Street Light Upgrade Menu,519 W 44TH PL,2021,500,8746,519 W 44TH PL,41.8133736,-87.6391634,google
6,Sidewalk Menu,52 W 78TH PL,2022,4129.76,4755,52 W 78TH PL,41.75183560500005,-87.62648222799999,census
37,Street Resurfacing Menu,5200 N LARAMIE AVE,2022,53917.925,42809,5200 N LARAMIE AVE,41.97578964100006,-87.75779604099995,census
16,POD Camera,5200 S Ada,2006,24000,41234,5200 S Ada,41.7995761,-87.6586501,google
14,Sidewalk Menu,5200 S AUSTIN AVE,2019,11460.21,12090,5200 S AUSTIN AVE,41.797954798000035,-87.77222896799998,census
5,Arterial Street Bump Outs Menu,5200 S HYDE PARK BLVD,2022,67348.44,4215,5200 S HYDE PARK BLVD,41.8008496,-87.5850713,google
14,Sidewalk Menu,5200 S LEAMINGTON AVE,2019,10981.77,41021,5200 S LEAMINGTON AVE,41.7982391,-87.751746,google
14,Sidewalk Menu,5200 S LOCKWOOD AVE,2020,13513.27,12159,5200 S LOCKWOOD AVE,41.7981911,-87.7554105,google
14,Sidewalk Menu,5200 S LUNA AVE,2022,8786.87,12241,5200 S LUNA AVE,41.7981014,-87.7615076,google
37,Sidewalk Menu,5200 W CRYSTAL ST,2017,108329.04,30316,5200 W CRYSTAL ST,41.90316215200005,-87.75584093499998,census
31,1 POD Camera + LPR on Existing: 5200 W Fullerton,5200 W FULLERTON AVE,2021,35747,25634,5200 W FULLERTON AVE,41.924112835000074,-87.75624359299997,census
31,Street Resurfacing Menu,5200 W SCHOOL ST,2022,28058.475,42402,5200 W SCHOOL ST,41.9408068,-87.7569325,google
31,Curb & Gutter Menu,5200 W SCHUBERT AVE,2014,3490,25373,5200 W SCHUBERT AVE,41.92959290700003,-87.75639937999995,census
5,Street Bump Outs Menu,5201 S CORNELL AVE,2022,5437.84,4222,5201 S CORNELL AVE,41.801029904000075,-87.586046592999935,census
14,Sidewalk Menu,5201 S MULLIGAN AVE,2022,3737.06,12242,5201 S MULLIGAN AVE,41.79773590600007,-87.78074292299999,census
23,Curb & Gutter Menu,5201 S NEVA AVE,2019,3361.685,41535,5201 S NEVA AVE,41.79744634700006,-87.80040853399998,census
23,Curb & Gutter Menu,5201 S NEW ENGLAND AVE,2021,3418.93,19210,5201 S NEW ENGLAND AVE,41.7975724,-87.7938933,google
23,Alley Apron Menu,5201 S RUTHERFORD AVE,2019,20805.61,19087,5201 S RUTHERFORD AVE,41.79759112900007,-87.79049677599994,census
13,Street Light Upgrade,5201 W 63RD ST,2014,400,10252,5201 W 63RD ST,41.778212127000074,-87.75331487599999,census
45,Sidewalk Menu,5201 W ARGYLE ST,2017,15623.18,36568,5201 W ARGYLE ST,41.97156950900006,-87.75783896199994,census
37,Sidewalk Menu,5201 W BLOOMINGDALE AVE,2017,110269.07,30315,5201 W BLOOMINGDALE AVE,41.91313642700004,-87.75706637599995,census
14,Alley Speed Hump Menu,5202 S CHRISTIANA AVE,2016,700,11945,5202 S CHRISTIANA AVE,41.7987476,-87.707661,google
30,Sidewalk Menu,5204 W EDDY ST,2016,5889.33,24475,5204 W EDDY ST,41.94509365400006,-87.75716986899994,census
23,Curb & Gutter Menu,5205 S NEW ENGLAND AVE,2021,4769.8,19211,5205 S NEW ENGLAND AVE,41.7974866,-87.7938275,google
14,Alley Speed Hump Menu,5208 S CALIFORNIA AVE,2019,700,12085,5208 S CALIFORNIA AVE,41.79889297400007,-87.69394797799998,census
23,Sidewalk Menu,5208 S NORDICA AVE,2016,3069.81,18905,5208 S NORDICA AVE,41.7972557,-87.7982228,google
30,Curb & Gutter Menu,5208 W EDDY ST,2015,1096,24400,5208 W EDDY ST,41.94509227400005,-87.75725407299996,census
45,Sidewalk Menu,5208 W FOSTER AVE,2016,2311.15,36524,5208 W FOSTER AVE,41.97522140800004,-87.75819389599997,census
23,Curb & Gutter Menu,5209 S NEW ENGLAND AVE,2021,3447.02,19212,5209 S NEW ENGLAND AVE,41.7974963,-87.7938818,google
23,Sidewalk Menu,5209 S RUTHERFORD AVE,2016,5235.74,18916,5209 S RUTHERFORD AVE,41.79746449500004,-87.79049396199997,census
23,Miscellaneous-CDOT,5209 S. Melvina Ave.,2007,1279,18099,5209 S. Melvina Ave.,41.7976337,-87.7768084,google
13,Miscellaneous CDOT Projects,5209 W 63RD PL,2021,660,10747,5209 W 63RD PL,41.777236,-87.7523107,google
3,Alley Speed Hump Menu,5210 S,2020,1050,40345,5210 S,41.7530738,-87.7518517,google
13,POD Camera,5210 W 64 St,2007,24000,40912,5210 W 64 St,41.77600661100007,-87.75241897099994,census
14,Sidewalk Menu,5211 S MERRIMAC AVE,2020,3216.93,12166,5211 S MERRIMAC AVE,41.797628442000075,-87.77829766099995,census
29,Pavement Markings Menu,5212 W HARRISON ST,2017,2700,23510,5212 W HARRISON ST,41.87294959700006,-87.75516191199995,census
3,Miscellaneous CDOT Projects,5213 S WABASH AVE,2021,133.065,40357,5213 S WABASH AVE,41.79950877700003,-87.62420246699998,census
14,Street Light Upgrade Menu,5214 S MERRIMAC AVE,2022,500,12256,5214 S MERRIMAC AVE,41.79756603100003,-87.77831029599997,census
31,Sidewalk Menu - Change Order,5214 W Drummond Place,2010,2208,25185,5214 W Drummond Place,41.92868023200003,-87.75729516899997,census
31,Sidewalk Menu - Change Order,5214 W Drummond,2010,2984,25186,5214 W Drummond,41.92868023200003,-87.75729516899997,census
14,Sidewalk Menu,5215 S MELVINA AVE,2020,5405.49,12165,5215 S MELVINA AVE,41.797405500000004,-87.7768023,google
39,Alley Apron Menu,5216 N BERNARD ST,2021,14116.22,31932,5216 N BERNARD ST,41.97643362600007,-87.71478031699996,census
14,Sidewalk Menu,5216 S LONG AVE,2019,4763.14,12128,5216 S LONG AVE,41.79800127900006,-87.75756996299998,census
45,Sidewalk Menu - Change Order,5216 W Lawrence,2008,86,36153,5216 W Lawrence,41.968261,-87.7584199,google
45,Sidewalk Menu - Change Order,5216 W Lawrence,2009,113,36192,5216 W Lawrence,41.968261,-87.7584199,google
45,Sidewalk Menu - Change Order,5216 W Lawrence,2010,423,36224,5216 W Lawrence,41.968261,-87.7584199,google
45,Sidewalk Menu - Change Order,5216 W Lawrence,2011,392,36288,5216 W Lawrence,41.968261,-87.7584199,google
23,Miscellaneous-CDOT,5217 S. Neva Ave.,2007,1622,18095,5217 S. Neva Ave.,41.79719241500004,-87.80040001699996,census
14,Alley Speed Hump Menu,5218 S TROY ST,2018,700,41000,5218 S TROY ST,41.7984168,-87.7027415,google
31,Alley Speed Hump Menu,5218 W DIVERSEY AVE,2022,700,42357,5218 W DIVERSEY AVE,41.93139747600003,-87.75700113299996,census
3,Sidewalk Menu,5219 S CALUMET AVE,2018,14357.52,2835,5219 S CALUMET AVE,41.799948904000075,-87.61772142499996,census
23,Sidewalk Menu,5219 S NORDICA AVE,2020,10058.96,19181,5219 S NORDICA AVE,41.7970722,-87.7975354,google
31,Street Resurfacing Menu,5219 W WRIGHTWOOD AVE,2021,7252.48375,42347,5219 W WRIGHTWOOD AVE,41.9275378,-87.7570742,google
49,Sidewalk Menu  7,522 N EASTLAKE TER,2019,9569.22,39636,522 N EASTLAKE TER,42.0208712,-87.6650746,google
43,Miscellaneous CDOT Projects,522 W ARMITAGE AVE,2018,616.190476190476,43030,522 W ARMITAGE AVE,41.91828166800008,-87.64220250899996,census
44,Miscellaneous CDOT Projects,522 W HAWTHORNE PL,2017,500,43121,522 W HAWTHORNE PL,41.94462424900007,-87.64247498599997,census
48,Curb & Gutter Menu,5220 N KENMORE AVE,2018,13314.46,38850,5220 N KENMORE AVE,41.97683531700005,-87.65643378699997,census
14,Sidewalk Menu,5220 S MULLIGAN AVE,2018,7410.605,41011,5220 S MULLIGAN AVE,41.79741908800003,-87.78074745299995,census
14,Sidewalk Menu,5220 S NATOMA AVE,2022,9960.42,41051,5220 S NATOMA AVE,41.79730654700006,-87.78806363799998,census
23,Sidewalk Menu,5221 S NEWLAND AVE,2019,1367.92,19142,5221 S NEWLAND AVE,41.797202226000024,-87.79536512799996,census
3,Miscellaneous CDOT Projects,5221 S WABASH AVE,2021,133.065,40358,5221 S WABASH AVE,41.79939171500007,-87.62419987699997,census
23,Sidewalk Menu,5222 S OAK PARK AVE,2019,2987.08,19110,5222 S OAK PARK AVE,41.7970272,-87.7920689,google
40,Miscellaneous Other,5225 N HOYNE AVE,2014,14823,32474,5225 N HOYNE AVE,41.9766927,-87.6817339,google
48,Curb & Gutter Menu,5225 N KENMORE AVE,2021,885,38987,5225 N KENMORE AVE,41.97689823500008,-87.65642064899998,census
23,Sidewalk Menu,5225 S KOLIN AVE,2016,4005.52,18893,5225 S KOLIN AVE,41.79776759400005,-87.73185815099998,census
14,Street Light Upgrade Menu,5225 S LOTUS AVE,2022,500,12257,5225 S LOTUS AVE,41.797857057000044,-87.75877413899997,census
14,Sidewalk Menu,5226 S TRUMBULL AVE,2022,2971.24,12244,5226 S TRUMBULL AVE,41.798349829000074,-87.70982585799999,census
30,Curb & Gutter Menu,5226 W EDDY ST,2019,683,24654,5226 W EDDY ST,41.94508676400005,-87.75763298299995,census
30,Sidewalk Menu,5229 W CORNELIA AVE,2020,3557.09,24706,5229 W CORNELIA AVE,41.94416254500004,-87.75765901999995,census
23,Sidewalk Menu,5230 S NEVA AVE,2019,2401.57,19129,5230 S NEVA AVE,41.79697008900007,-87.80040896299994,census
48,Curb & Gutter Menu,5232 N LAKEWOOD AVE,2019,3141.84,38907,5232 N LAKEWOOD AVE,41.976942577000045,-87.66236923199995,census
37,Alley Speed Hump Menu,5234 W CHICAGO AVE,2021,350,42792,5234 W CHICAGO AVE,41.894926043000055,-87.75730580899994,census
41,Sidewalk Menu,5235 N RUTHERFORD AVE,2018,2564.47,33301,5235 N RUTHERFORD AVE,41.976656,-87.7948455,google
41,Sidewalk Menu,5235 N RUTHERFORD AVE,2018,12923.53,33302,5235 N RUTHERFORD AVE,41.976656,-87.7948455,google
23,Sidewalk Menu,5235 S KOLIN AVE,2022,4058.32,19285,5235 S KOLIN AVE,41.797463685000025,-87.73184917499998,census
29,Miscellaneous CDOT Projects,5235 W ADAMS ST,2022,150,23743,5235 W ADAMS ST,41.87845272100003,-87.75635717199998,census
48,Sidewalk Menu,5236 N GLENWOOD AVE,2022,2571.22,39041,5236 N GLENWOOD AVE,41.977303979000055,-87.66478782699994,census
16,Sidewalk Menu,5236 S DAMEN AVE,2017,10895.92,13647,5236 S DAMEN AVE,41.797977357000036,-87.67442165299997,census
16,Sidewalk Menu,5236 S DAMEN AVE,2017,8150.77,13661,5236 S DAMEN AVE,41.797977357000036,-87.67442165299997,census
31,Street Light Upgrade Menu,5236 W SCHOOL ST,2021,750,42334,5236 W SCHOOL ST,41.940521326000066,-87.75770134099997,census
23,Sidewalk Menu,5237 S KOLIN AVE,2016,5634.74,18892,5237 S KOLIN AVE,41.79740290400008,-87.73184737999998,census
14,Sidewalk Menu,5237 S MAPLEWOOD AVE,2019,11725.29,12129,5237 S MAPLEWOOD AVE,41.79856231700006,-87.68782200799996,census
14,Sidewalk Menu,5238 S LOREL AVE,2020,1166.35,12161,5238 S LOREL AVE,41.79783106200006,-87.75634212099999,census
45,Alley Resurfacing Menu (1-1),5239 W STRONG ST,2017,22390.33,36551,5239 W STRONG ST,41.97064153400004,-87.75858686599997,census
23,Miscellaneous-CDOT,5240 S. Oak Park Ave.,2007,930,18106,5240 S. Oak Park Ave.,41.7964855,-87.7919575,google
3,Miscellaneous CDOT Projects,5241 S INDIANA AVE,2020,150,2908,5241 S INDIANA AVE,41.799029,-87.6204769,google
3,Miscellaneous CDOT Projects,5241 S INDIANA AVE,2019,200,40341,5241 S INDIANA AVE,41.799029,-87.6204769,google
23,Sidewalk Menu,5242 S NEVA AVE,2022,6640.69,19286,5242 S NEVA AVE,41.79677970700004,-87.80040402699996,census
14,Sidewalk Menu,5243 S MCVICKER AVE,2022,16116.68,12247,5243 S MCVICKER AVE,41.7965195,-87.7730662,google
23,Sidewalk Menu,5243 S RUTHERFORD AVE,2022,3771.58,19287,5243 S RUTHERFORD AVE,41.796926375000055,-87.79047873599995,census
23,Sidewalk Menu,5243 S TRIPP AVE,2017,4546.79,18978,5243 S TRIPP AVE,41.797627211000076,-87.72940434299994,census
48,Curb & Gutter Menu,5244 N LAKEWOOD AVE,2018,12944.46,38851,5244 N LAKEWOOD AVE,41.97713378200007,-87.66237485499994,census
31,Alley Resurfacing Menu (1-1),5244 W ALTGELD ST,2018,17231.655,42288,5244 W ALTGELD ST,41.92595083200007,-87.75768483199994,census
23,Curb & Gutter Menu,5249 S NEWLAND AVE,2016,5074.02,18847,5249 S NEWLAND AVE,41.7962105,-87.7950746,google
23,Curb & Gutter Menu,5249 S NEWLAND AVE,2016,1082.29,18861,5249 S NEWLAND AVE,41.7962105,-87.7950746,google
1,CPS Turf Field - James Otis School,525 N ARMOUR ST,2022,30000,915,525 N ARMOUR ST,41.89224696000008,-87.66553840499995,census
21,Bollard Menu,525 W 95 ST,2008,1428,16667,525 W 95 ST,41.7212855,-87.6369774,google
21,Guardrail Menu,525 W 95 ST,2008,800,16673,525 W 95 ST,41.7212855,-87.6369774,google
48,Miscellaneous-CDOT,5250 N Sheridan (Bus Pad),2008,22873,38458,5250 N Sheridan,41.9780131,-87.6554309,google
14,Sidewalk Menu,5250 S MCVICKER AVE,2019,2027.74,12116,5250 S MCVICKER AVE,41.7965574,-87.7737005,google
38,Street Lighting,5250 W GRACE ST,2010,500,30844,5250 W GRACE ST,41.949640259000034,-87.75830500599994,census
23,Curb & Gutter Menu,5251 S NOTTINGHAM AVE,2016,3064.11,18856,5251 S NOTTINGHAM AVE,41.79669054000004,-87.79911407199995,census
14,Curb & Gutter Menu,5251 S TRUMBULL AVE,2020,2091.09,12146,5251 S TRUMBULL AVE,41.797965127000055,-87.70979987399994,census
30,Sidewalk Menu,5251 W EDDY ST,2018,794.82,24605,5251 W EDDY ST,41.94506891700007,-87.75813797499995,census
23,Miscellaneous-CDOT,5252 S. Natoma,2007,2243,18103,5252 S. Natoma,41.7962165,-87.7882653,google
40,Curb & Gutter Menu,5254 N ROCKWELL ST,2015,298,32483,5254 N ROCKWELL ST,41.977293142000065,-87.69410378399994,census
40,Curb & Gutter Menu,5254 N ROCKWELL ST,2016,1939.42,32517,5254 N ROCKWELL ST,41.977293142000065,-87.69410378399994,census
20,Miscellaneous CDOT Projects,5254 S CARPENTER ST,2022,150,16502,5254 S CARPENTER ST,41.79866798200004,-87.65135378099995,census
14,Sidewalk Menu,5254 S KNOX AVE,2022,1367.62,12248,5254 S KNOX AVE,41.79766319100003,-87.73922029699997,census
29,Alley Resurfacing Menu,5255 W JACKSON BLVD,2022,20831.59,42092,5255 W JACKSON BLVD,41.876634084000045,-87.75649108499994,census
30,Sidewalk Menu,5255 W PATTERSON AVE,2016,11428.81,24477,5255 W PATTERSON AVE,41.94689272900007,-87.75841244499998,census
23,Alley Apron Menu,5257 S HAMLIN AVE,2018,22820.65,19009,5257 S HAMLIN AVE,41.7971079,-87.7180765,google
14,Alley Speed Hump Menu,5257 S KILPATRICK AVE,2019,700,12086,5257 S KILPATRICK AVE,41.79752094600008,-87.74042994899997,census
29,Street Lighting,5257 W LEXINGTON ST,2011,350,23308,5257 W LEXINGTON ST,41.87102598800004,-87.75647768899995,census
14,Sidewalk Menu,5258 S MULLIGAN AVE,2022,13315.12,41054,5258 S MULLIGAN AVE,41.79681759600004,-87.78072969699997,census
23,Sidewalk Menu,5258 S RUTHERFORD AVE,2022,5386.76,19288,5258 S RUTHERFORD AVE,41.7960605,-87.7907575,google
23,Alley Apron Menu,5258 S SAYRE AVE,2021,14086.015,41566,5258 S SAYRE AVE,41.795993,-87.796871,google
23,Sidewalk Menu,5259 S NEW ENGLAND AVE,2021,3137.86,19222,5259 S NEW ENGLAND AVE,41.796097,-87.7938406,google
23,Alley Apron Menu,5259 S NORDICA AVE,2021,14086.015,41565,5259 S NORDICA AVE,41.7959838,-87.7976056,google
14,Sidewalk Menu,5259 S TROY ST,2019,20584.83,12111,5259 S TROY ST,41.7973276,-87.7021545,google
29,Alley Speed Hump Menu,5259 W ADAMS ST,2015,700,23417,5259 W ADAMS ST,41.87844701400007,-87.75677059999998,census
31,Sidewalk Menu,5259 WOAKDALE AVE,2022,3721.4,42372,5259 WOAKDALE AVE,41.9339244,-87.7587723,google
49,Sidewalk Menu  6,528 N NEWGARD AVE,2019,1297.6,39639,528 N NEWGARD AVE,42.0017693,-87.6668477,google
39,Sidewalk Menu,5284 N LA CROSSE AVE,2020,15542.95,31916,5284 N LA CROSSE AVE,41.977495358000056,-87.74933848599994,census
1,Sidewalk Menu,529 N HARTLAND CT,2021,4622.65,899,529 N HARTLAND CT,41.89138990500004,-87.67121492499996,census
4,POD Camera,5299 S Drexel,2006,36000,40378,5299 S Drexel,41.7993723,-87.6039168,google
4,Miscellaneous-CDOT,53 rd Street - 5 tree grates,2007,9500,3084,53 rd Street - 5 tree grates,41.7981315,-87.6249707,google
1,Sidewalk Menu,530 N MARSHFIELD AVE,2016,3895.17,679,530 N MARSHFIELD AVE,41.89195514200003,-87.66839755199999,census
48,Curb & Gutter Menu,5300 N WAYNE AVE,2022,2377.7,39028,5300 N WAYNE AVE,41.978237956000044,-87.66361410399998,census
14,Sidewalk Menu,5300 S CENTRAL AVE,2017,9446.31,12020,5300 S CENTRAL AVE,41.7963064,-87.7627452,google
16,Bollard Menu,5300 S DAMEN AVE,2022,1668.935,41256,5300 S DAMEN AVE,41.7974476,-87.6747838,google
14,Sidewalk Menu,5300 S FRANCISCO AVE,2022,11512.02,12249,5300 S FRANCISCO AVE,41.79715149500004,-87.69634160699997,census
16,Sidewalk Menu,5300 S HONORE ST,2016,9447.27,13614,5300 S HONORE ST,41.797493803000066,-87.67076147999995,census
16,Sidewalk Menu,5300 S HOYNE AVE,2017,29228.86,13648,5300 S HOYNE AVE,41.79715696300008,-87.67683416799997,census
14,Sidewalk Menu,5300 S MAPLEWOOD AVE,2020,14912.47,12154,5300 S MAPLEWOOD AVE,41.79726452400007,-87.68780175099994,census
23,Alley Apron Menu,5300 S MAYFIELD AVE,2017,19499,18940,5300 S MAYFIELD AVE,41.796192020000035,-87.76973360199997,census
23,Sidewalk Menu,5300 S MERRIMAC AVE,2019,9493.84,19128,5300 S MERRIMAC AVE,41.79597090300007,-87.77826529499998,census
23,Street Resurfacing Menu,5300 S NAGLE AVE,2022,23240.61,41610,5300 S NAGLE AVE,41.7959007,-87.7834194,google
23,Alley Apron Menu,5300 S NARRAGANSETT AVE,2016,15888.3,18793,5300 S NARRAGANSETT AVE,41.79590224300006,-87.78191936199994,census
23,Alley Apron Menu,5300 S NATCHEZ AVE,2016,13102.84,18795,5300 S NATCHEZ AVE,41.79586606400005,-87.78436345399996,census
23,Sidewalk Menu,5300 S NATCHEZ AVE,2016,3642.98,18922,5300 S NATCHEZ AVE,41.79586606400005,-87.78436345399996,census
23,Street Resurfacing Menu,5300 S NORDICA AVE,2022,25974.13,41607,5300 S NORDICA AVE,41.7956768,-87.7981162,google
23,Curb & Gutter Menu,5300 S RIDGEWAY AVE,2018,15925.17,19029,5300 S RIDGEWAY AVE,41.79686187800007,-87.71714037999999,census
23,Alley Speed Hump Menu,5300 S SPRINGFIELD AVE,2021,466.666666666667,41573,5300 S SPRINGFIELD AVE,41.7967814,-87.7211029,google
5,1 POD Camera SW Corner 5300 South Woodlawn Avenue,5300 S WOODLAWN AVE,2022,24776,4213,5300 S WOODLAWN AVE,41.7992065,-87.5970802,google
37,Alley Resurfacing Menu,5300 W CHICAGO AVE,2018,59037.01,30338,5300 W CHICAGO AVE,41.89491334300004,-87.75874520899998,census
37,Alley Resurfacing Menu (1-1),5300 W CRYSTAL ST,2019,14771.75,42755,5300 W CRYSTAL ST,41.90313465300005,-87.75831576999997,census
37,Alley Speed Hump Menu,5300 W CRYSTAL ST,2019,350,42781,5300 W CRYSTAL ST,41.90313465300005,-87.75831576999997,census
31,Floodlight Menu,5300 W DRUMMOND PL,2014,300,25410,5300 W DRUMMOND PL,41.92865771500004,-87.75897101799995,census
31,Sidewalk Menu,5300 W DRUMMOND PL,2022,8753.24,42367,5300 W DRUMMOND PL,41.92865771500004,-87.75897101799995,census
31,Alley Apron Menu,5300 W GEORGE ST,2017,9415.02,25531,5300 W GEORGE ST,41.93320098200007,-87.75907245699995,census
29,Miscellaneous CDOT Projects,5300 W VAN BUREN ST,2022,125,42100,5300 W VAN BUREN ST,41.87482108800003,-87.75781498099997,census
40,High Definition Camera,5301 N. Hoyne,2012,1800,32366,5301 N. Hoyne,41.9778115,-87.6818898,google
14,Sidewalk Menu,5301 S FRANCISCO AVE,2016,8196.72,11958,5301 S FRANCISCO AVE,41.7971749,-87.6960498,google
23,Alley Speed Hump Menu,5301 S HARDING AVE,2021,466.666666666667,41572,5301 S HARDING AVE,41.79672898900003,-87.72202424599999,census
23,Sidewalk Menu,5301 S MERRIMAC AVE,2018,16847.2,19052,5301 S MERRIMAC AVE,41.795971175000034,-87.77825059299994,census
23,Sidewalk Menu,5301 S NOTTINGHAM AVE,2021,3479.23,19223,5301 S NOTTINGHAM AVE,41.7956871,-87.7988354,google
3,Miscellaneous CDOT Projects,5301 S WENTWORTH AVE,2021,660,2944,5301 S WENTWORTH AVE,41.79815537800005,-87.63058728099998,census
30,Alley Resurfacing Menu,5301 W DEMING PL,2019,21852.49,42150,5301 W DEMING PL,41.92683377900005,-87.75890264599997,census
30,Alley Resurfacing Menu,5301 W NEWPORT AVE,2017,32844.86,24512,5301 W NEWPORT AVE,41.94322689000006,-87.75948489299998,census
30,Alley Apron Menu,5301 W SCHOOL ST,2020,26269.17,24703,5301 W SCHOOL ST,41.940486931000066,-87.75939688499994,census
31,Sidewalk Menu,5301 W SCHUBERT AVE,2022,10454.34,25669,5301 W SCHUBERT AVE,41.92955122200004,-87.75900315999996,census
31,Sidewalk Menu,5301 W WRIGHTWOOD AVE,2022,8944.985,42369,5301 W WRIGHTWOOD AVE,41.927739864000046,-87.75893506499995,census
23,Sidewalk Menu,5304 S OAK PARK AVE,2019,2418.37,19122,5304 S OAK PARK AVE,41.7956808,-87.7919497,google
30,Alley Resurfacing Menu,5304 W FLETCHER ST,2022,13132.085,42238,5304 W FLETCHER ST,41.93776139500005,-87.75937413799994,census
29,Sidewalk Menu,5304 W MONROE ST,2017,3474.62,23514,5304 W MONROE ST,41.87934715200004,-87.75805437699995,census
3,Miscellaneous CDOT Projects,5305 S CALUMET AVE,2020,300,2907,5305 S CALUMET AVE,41.798229984000045,-87.61768215299998,census
3,Miscellaneous CDOT Projects,5305 S CALUMET AVE,2019,200,40340,5305 S CALUMET AVE,41.798229984000045,-87.61768215299998,census
48,Sidewalk Menu,5306 N WINTHROP AVE,2022,408.99,39042,5306 N WINTHROP AVE,41.97842025400007,-87.65787576699995,census
31,Sidewalk Menu,5306 W PARKER AVE,2015,6781,25449,5306 W PARKER AVE,41.93046459300007,-87.75916564799996,census
23,Sidewalk Menu,5307 S NEENAH AVE,2016,1408.81,18889,5307 S NEENAH AVE,41.79575160100006,-87.78556362299997,census
3,Miscellaneous CDOT Projects,5308 S INDIANA AVE,2021,150,40359,5308 S INDIANA AVE,41.79795475100008,-87.62093356099996,census
14,Sidewalk Menu,5308 S TALMAN AVE,2017,2772.16,12008,5308 S TALMAN AVE,41.797132874000056,-87.69024064299998,census
14,Sidewalk Menu,5308 S WASHTENAW AVE,2022,5839.82,12250,5308 S WASHTENAW AVE,41.97795505400006,-87.69656107699996,census
23,Sidewalk Menu,5308 W 54TH ST,2019,3611.15,19113,5308 W 54TH ST,41.794653280000034,-87.75548351699996,census
29,Miscellaneous CDOT Projects,5309 W ADAMS ST,2022,125,42097,5309 W ADAMS ST,41.87842894600004,-87.75809142599996,census
48,Cedar Park Improvements,5311 N WINTHROP AVE,2017,25000,38775,5311 N WINTHROP AVE,41.97848300900006,-87.65786239499994,census
48,Cedar Playlot - capital improvements,5311 N WINTHROP AVE,2018,110000,38838,5311 N WINTHROP AVE,41.97848300900006,-87.65786239499994,census
23,Sidewalk Menu,5311 S HARDING AVE,2021,803.58,19224,5311 S HARDING AVE,41.79657090100005,-87.72201906299995,census
5,Sidewalk Menu,5311 S MARYLAND AVE,2018,20822.34,4151,5311 S MARYLAND AVE,41.7982022,-87.6049492,google
48,Street Light Piggy Back Only Menu,5313 N WINTHROP AVE,2018,7000,38873,5313 N WINTHROP AVE,41.97851429700006,-87.65786308299994,census
23,Sidewalk Menu,5313 S SAYRE AVE,2019,3091.2,19125,5313 S SAYRE AVE,41.7953826,-87.7962583,google
29,Street Light Upgrade Menu,5313 W MADISON ST,2021,500,23700,5313 W MADISON ST,41.88032639800008,-87.75825069899997,census
5,Alley Apron Menu,5314 S HARPER AVE,2021,26004.26,4198,5314 S HARPER AVE,41.7990408,-87.5890898,google
3,Miscellaneous CDOT Projects,5314 S INDIANA AVE,2021,150,40360,5314 S INDIANA AVE,41.79786819200007,-87.62093161099995,census
